Realm,Guild_Name,Year,Quarter,Operating_Income,EBITDA,Tax,Net_Income,GOGS
Oasis of Whispering Sands,Djinn-Forged Ironworks,717,1,21904.87,26090.31,5855.7,16049.17,75668.54
Oasis of Whispering Sands,Djinn-Forged Ironworks,717,2,17681.07,23523.18,3967.18,13713.89,62357.84
Oasis of Whispering Sands,Djinn-Forged Ironworks,717,3,20009.92,31315.08,4861.25,15148.67,85116.94
Oasis of Whispering Sands,Djinn-Forged Ironworks,717,4,14784.45,22956.75,3998.11,10786.34,41932.53
Oasis of Whispering Sands,Djinn-Forged Ironworks,718,1,13575.22,16403.08,3558.74,10016.48,35353.81
Oasis of Whispering Sands,Djinn-Forged Ironworks,718,2,16911.33,22431.29,3210.78,13700.55,45593.87
Oasis of Whispering Sands,Djinn-Forged Ironworks,718,3,18224.03,21004.07,4106.22,14117.81,60346.76
Oasis of Whispering Sands,Djinn-Forged Ironworks,718,4,25485.32,35486.19,7097.26,18388.06,74706.87
Peak of the Sleeping Djinn,Sultan's Silk & Steel Guild,717,1,9852.69,11840.88,1929.95,7922.74,35622.97
Peak of the Sleeping Djinn,Sultan's Silk & Steel Guild,717,2,6067.84,7959.3,927.04,5140.8,21798.84
Peak of the Sleeping Djinn,Sultan's Silk & Steel Guild,717,3,2514.54,3029.02,532.44,1982.1,8209.25
Peak of the Sleeping Djinn,Sultan's Silk & Steel Guild,717,4,2443.82,3800.3,437.8,2006.02,7457.77
Peak of the Sleeping Djinn,Sultan's Silk & Steel Guild,718,1,9826.85,11777.74,2254.6,7572.25,29915.51
Peak of the Sleeping Djinn,Sultan's Silk & Steel Guild,718,2,4011.78,6240.41,773.95,3237.83,14646.19
Peak of the Sleeping Djinn,Sultan's Silk & Steel Guild,718,3,8822.51,13388.51,2365.51,6457.0,26464.54
Peak of the Sleeping Djinn,Sultan's Silk & Steel Guild,718,4,9778.96,12361.58,2589.31,7189.65,37281.16
Bazaar of Forgotten Wishes,Bazaar of the Seven Veils Trading Co.,717,1,9534.08,14693.41,1737.44,7796.64,44761.45
Bazaar of Forgotten Wishes,Bazaar of the Seven Veils Trading Co.,717,2,6537.64,9212.44,1084.62,5453.02,17353.77
Bazaar of Forgotten Wishes,Bazaar of the Seven Veils Trading Co.,717,3,6586.32,9534.98,1670.67,4915.65,18010.21
Bazaar of Forgotten Wishes,Bazaar of the Seven Veils Trading Co.,717,4,8347.69,11263.65,1404.41,6943.28,21264.92
Bazaar of Forgotten Wishes,Bazaar of the Seven Veils Trading Co.,718,1,5901.41,8468.04,1595.83,4305.58,20980.57
Bazaar of Forgotten Wishes,Bazaar of the Seven Veils Trading Co.,718,2,11501.26,15639.99,3080.25,8421.01,37707.1
Bazaar of Forgotten Wishes,Bazaar of the Seven Veils Trading Co.,718,3,11054.37,16141.07,1964.66,9089.71,31255.75
