Guild_Name,Year,Quarter,Market_Share_Pct,Employee_Count,Customer_Satisfaction_Score
Djinn-Forged Ironworks,717,1,8.11,419,4.29
Djinn-Forged Ironworks,717,2,8.11,423,4.34
Djinn-Forged Ironworks,717,3,8.55,410,4.91
Djinn-Forged Ironworks,717,4,9.2,404,2.69
Djinn-Forged Ironworks,718,1,9.16,415,4.38
Djinn-Forged Ironworks,718,2,8.92,426,4.13
Djinn-Forged Ironworks,718,3,9.66,374,4.43
Djinn-Forged Ironworks,718,4,9.39,417,4.36
Sultan's Silk & Steel Guild,717,1,11.92,479,3.57
Sultan's Silk & Steel Guild,717,2,11.89,514,3.52
Sultan's Silk & Steel Guild,717,3,12.72,507,2.55
Sultan's Silk & Steel Guild,717,4,13.34,479,4.43
Sultan's Silk & Steel Guild,718,1,12.56,498,2.78
Sultan's Silk & Steel Guild,718,2,13.4,473,3.09
Sultan's Silk & Steel Guild,718,3,12.16,482,3.73
Sultan's Silk & Steel Guild,718,4,12.83,483,4.06
Bazaar of the Seven Veils Trading Co.,717,1,6.36,585,4.65
Bazaar of the Seven Veils Trading Co.,717,2,6.33,579,2.66
Bazaar of the Seven Veils Trading Co.,717,3,6.24,593,2.88
Bazaar of the Seven Veils Trading Co.,717,4,6.6,541,2.99
Bazaar of the Seven Veils Trading Co.,718,1,6.43,574,3.16
Bazaar of the Seven Veils Trading Co.,718,2,7.06,562,3.0
Bazaar of the Seven Veils Trading Co.,718,3,6.09,544,3.91
Bazaar of the Seven Veils Trading Co.,718,4,7.99,567,3.05
Order of the Flying Carpet Caravans,717,1,4.54,477,3.39
Order of the Flying Carpet Caravans,717,2,4.98,494,4.75
Order of the Flying Carpet Caravans,717,3,4.74,504,4.3
Order of the Flying Carpet Caravans,717,4,4.23,460,3.79
Order of the Flying Carpet Caravans,718,1,5.93,497,4.04
Order of the Flying Carpet Caravans,718,2,4.42,472,3.72
Order of the Flying Carpet Caravans,718,3,5.5,462,2.81
Order of the Flying Carpet Caravans,718,4,5.91,492,4.53
Scheherazade Metalworks,717,1,9.86,124,4.25
Scheherazade Metalworks,717,2,9.88,101,2.65
Scheherazade Metalworks,717,3,10.46,129,4.34
Scheherazade Metalworks,717,4,10.8,119,2.97
Scheherazade Metalworks,718,1,9.98,130,3.6
Scheherazade Metalworks,718,2,11.25,115,3.97
Scheherazade Metalworks,718,3,10.52,134,2.83
Scheherazade Metalworks,718,4,9.92,102,4.38
House of the Roc's Feather,717,1,6.64,124,3.06
House of the Roc's Feather,717,2,6.96,77,3.04
House of the Roc's Feather,717,3,7.03,126,2.62
House of the Roc's Feather,717,4,7.26,110,4.93
House of the Roc's Feather,718,1,8.01,121,2.89
House of the Roc's Feather,718,2,7.23,125,4.62
House of the Roc's Feather,718,3,7.28,86,2.56
House of the Roc's Feather,718,4,8.49,91,3.74
Forty Thieves Foundry,717,1,6.72,576,3.32
Forty Thieves Foundry,717,2,6.61,560,3.56
Forty Thieves Foundry,717,3,7.13,543,2.64
Forty Thieves Foundry,717,4,6.18,595,4.72
Forty Thieves Foundry,718,1,6.76,571,4.67
Forty Thieves Foundry,718,2,6.75,543,3.58
Forty Thieves Foundry,718,3,8.83,554,3.59
Forty Thieves Foundry,718,4,6.49,537,3.79
Lamp & Anvil Trading House,717,1,4.58,529,4.11
Lamp & Anvil Trading House,717,2,5.12,494,4.75
Lamp & Anvil Trading House,717,3,4.76,516,2.78
Lamp & Anvil Trading House,717,4,4.66,508,3.81
Lamp & Anvil Trading House,718,1,4.56,498,3.07
Lamp & Anvil Trading House,718,2,5.92,494,4.9
Lamp & Anvil Trading House,718,3,5.37,517,3.85
Lamp & Anvil Trading House,718,4,5.97,489,3.16
Sindbad Maritime Ventures,717,1,8.73,443,2.84
Sindbad Maritime Ventures,717,2,8.71,421,3.2
Sindbad Maritime Ventures,717,3,9.16,430,3.2
Sindbad Maritime Ventures,717,4,10.27,413,4.52
Sindbad Maritime Ventures,718,1,10.17,407,4.24
Sindbad Maritime Ventures,718,2,10.27,389,3.56
Sindbad Maritime Ventures,718,3,10.08,387,4.4
Sindbad Maritime Ventures,718,4,10.08,432,3.15
Palace of a Thousand Nights Enterprises,717,1,13.03,263,2.98
Palace of a Thousand Nights Enterprises,717,2,13.04,282,2.81
Palace of a Thousand Nights Enterprises,717,3,12.84,277,4.46
Palace of a Thousand Nights Enterprises,717,4,13.98,267,4.39
Palace of a Thousand Nights Enterprises,718,1,13.0,310,2.84
Palace of a Thousand Nights Enterprises,718,2,14.36,296,2.77
Palace of a Thousand Nights Enterprises,718,3,13.05,293,4.25
Palace of a Thousand Nights Enterprises,718,4,14.83,254,4.01
Genie's Bargain Mercantile,717,1,6.97,349,3.05
Genie's Bargain Mercantile,717,2,6.87,360,4.35
Genie's Bargain Mercantile,717,3,7.87,376,4.23
Genie's Bargain Mercantile,717,4,7.9,376,2.77
Genie's Bargain Mercantile,718,1,7.31,363,2.89
Genie's Bargain Mercantile,718,2,8.06,351,3.71
Genie's Bargain Mercantile,718,3,8.14,368,4.12
Genie's Bargain Mercantile,718,4,7.91,357,4.13
Marid Steelcraft Union,717,1,8.44,439,2.66
Marid Steelcraft Union,717,2,9.02,446,2.99
Marid Steelcraft Union,717,3,8.56,429,2.85
Marid Steelcraft Union,717,4,7.96,477,4.14
Marid Steelcraft Union,718,1,8.11,471,3.7
Marid Steelcraft Union,718,2,10.05,472,4.37
Marid Steelcraft Union,718,3,9.03,449,4.14
Marid Steelcraft Union,718,4,9.78,466,2.64
